game,platform,store,region,kind,price,currency,price_ils,checked_at
Elden Ring,pc,Steam 🇮🇳,IN,digital,3599,INR,113.98,2026-07-23 22:13:43
Elden Ring,pc,Steam 🇹🇷,TR,digital,39.99,USD,122.47,2026-07-23 22:13:43
Elden Ring,pc,Steam 🇺🇦,UA,digital,1799,UAH,123.04,2026-07-23 22:13:43
Elden Ring,pc,Steam 🇦🇷,AR,digital,47.99,USD,146.97,2026-07-23 22:13:43
Elden Ring,pc,Steam 🇨🇱,CL,digital,45499,CLP,149.05,2026-07-23 22:13:43
Elden Ring,pc,Steam 🇵🇪,PE,digital,175,PEN,157.74,2026-07-23 22:13:43
Elden Ring,pc,GameBillet,,digital,51.59,USD,158,2026-07-23 22:13:43
Elden Ring,pc,Steam 🇿🇦,ZA,digital,849,ZAR,158.29,2026-07-23 22:13:43
Elden Ring,pc,מוכרי מפתחות · GG.deals,,digital,53.87,USD,164.98,2026-07-23 22:13:43
Elden Ring,pc,Fanatical,,digital,53.88,USD,165.01,2026-07-23 22:13:43
Elden Ring,pc,Gamesplanet,,digital,53.99,USD,165.35,2026-07-23 22:13:43
Elden Ring,pc,Steam 🇧🇷,BR,digital,274.5,BRL,165.64,2026-07-23 22:13:43
Elden Ring,pc,Steam 🇯🇵,JP,digital,9020,JPY,169.37,2026-07-23 22:13:43
Elden Ring,pc,Steam 🇲🇽,MX,digital,979,MXN,172.19,2026-07-23 22:13:43
Elden Ring,pc,Steam 🇨🇦,CA,digital,79.99,CAD,173.85,2026-07-23 22:13:43
Elden Ring,pc,WinGameStore,,digital,57.99,USD,177.6,2026-07-23 22:13:43
Elden Ring,pc,GamersGate,,digital,59.99,USD,183.72,2026-07-23 22:13:43
Elden Ring,pc,IndieGala,,digital,59.99,USD,183.72,2026-07-23 22:13:43
Elden Ring,pc,Gamesload,,digital,59.99,USD,183.72,2026-07-23 22:13:43
Elden Ring,pc,Steam,,digital,59.99,USD,183.72,2026-07-23 22:13:43
Elden Ring,pc,GreenManGaming,,digital,59.99,USD,183.72,2026-07-23 22:13:43
Elden Ring,pc,Humble Store,,digital,59.99,USD,183.72,2026-07-23 22:13:43
Elden Ring,pc,Steam 🇺🇸,US,digital,59.99,USD,183.72,2026-07-23 22:13:43
